,hhid,year,femaleh,hhsize,f0t6,m0t6,f7t12,m7t12,f13t15,f16t18,f19t60,m13t15,m16t18,m19t60,f61,m61,rural,posttreatment,ptreat,Primary,Junior secondary,Senior secondary,Higher,Quintile 2,Quintile 3,Quintile 4,Quintile 5,Sumatra,Java and Bali,Kalimantan,Sulawesi,%work10t12,%work13t15,%work16t18,%work10t18_x,Childlabour_x,%work10t18_y,Childlabour_y
53,120803001913.0,2005,0,4,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0,0.0,0.15168874,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
54,120803001914.0,2005,0,6,0.0,0.16666667,0.0,0.16666667,0.0,0.0,0.16666667,0.16666667,0.16666667,0.16666667,0.0,0.0,0,0.0,0.09432942,0,0,1,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
55,120803001915.0,2005,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0,0.0,0.23782527,0,1,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
56,120806001101.0,2005,0,3,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.0,0.0,1,0.0,0.14293739,0,0,1,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
57,120806001104.0,2005,1,6,0.0,0.0,0.0,0.33333334,0.0,0.0,0.16666667,0.16666667,0.16666667,0.16666667,0.0,0.0,1,0.0,0.53182346,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.16666667,0.16666667,1,0.0,0
58,120806001105.0,2005,0,3,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.0,0.0,1,0.0,0.3607315,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
59,120806001106.0,2005,0,7,0.0,0.0,0.2857143,0.0,0.14285715,0.0,0.14285715,0.0,0.0,0.42857143,0.0,0.0,1,0.0,0.35750803,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
60,120806001108.0,2005,0,5,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,1,0.0,0.5724559,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
61,120806001111.0,2005,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,0.33333334,0.33333334,1,0.0,0.29754978,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
62,120806001114.0,2005,0,3,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.0,0.0,1,0.0,0.3607315,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
